AT	mm	time	assay	type	rep
0.69	GA	24	6xPCR	test	1
0.60	GA	24	6xPCR	test	2
0.67	GA	24	6xPCR	test	1
0.67	GA	24	6xPCR	test	2
0.70	GA	24	6xPCR	test	1
0.69	GA	24	6xPCR	test	2
0.66	GA	24	6xPCR	test	1
0.66	GA	24	6xPCR	test	2
0.56	GA	24	6xPCR	ctrl	1
0.57	GA	24	6xPCR	ctrl	2
0.52	GA	24	6xPCR	ctrl	1
0.53	GA	24	6xPCR	ctrl	2
0.55	GA	24	6xPCR	ctrl	1
0.55	GA	24	6xPCR	ctrl	2
0.56	GA	24	6xPCR	ctrl	1
0.58	GA	24	6xPCR	ctrl	2
0.75	GA	48	6xPCR	test	1
0.77	GA	48	6xPCR	test	2
0.75	GA	48	6xPCR	test	1
0.73	GA	48	6xPCR	test	2
0.60	GA	48	6xPCR	ctrl	1
0.57	GA	48	6xPCR	ctrl	2
0.63	GA	48	6xPCR	ctrl	1
0.54	GA	48	6xPCR	ctrl	2
0.56	GA	48	6xPCR	ctrl	1
0.56	GA	48	6xPCR	ctrl	2
0.63	GA	48	6xPCR	ctrl	1
0.57	GA	48	6xPCR	ctrl	2
0.70	GA	24	LA	test	1
0.67	GA	24	LA	test	2
0.68	GA	24	LA	test	1
0.69	GA	24	LA	test	2
0.73	GA	24	LA	test	1
0.68	GA	24	LA	test	2
0.69	GA	24	LA	test	1
0.70	GA	24	LA	test	2
0.59	GA	24	LA	ctrl	1
0.70	GA	24	LA	ctrl	2
0.58	GA	24	LA	ctrl	1
0.62	GA	24	LA	ctrl	2
0.58	GA	24	LA	ctrl	1
0.49	GA	24	LA	ctrl	2
0.78	GA	48	LA	test	1
0.74	GA	48	LA	test	2
0.75	GA	48	LA	test	1
0.71	GA	48	LA	test	2
0.73	GA	48	LA	test	1
0.72	GA	48	LA	test	2
0.70	GA	48	LA	test	1
0.71	GA	48	LA	test	2
0.56	GA	48	LA	ctrl	1
0.55	GA	48	LA	ctrl	2
0.52	GA	48	LA	ctrl	1
0.57	GA	48	LA	ctrl	2
0.61	CA	24	6xPCR	test	1
0.55	CA	24	6xPCR	test	2
0.59	CA	24	6xPCR	test	1
0.54	CA	24	6xPCR	test	2
0.61	CA	24	6xPCR	test	1
0.53	CA	24	6xPCR	test	2
0.59	CA	24	6xPCR	test	1
0.53	CA	24	6xPCR	test	2
0.48	CA	24	6xPCR	ctrl	1
0.45	CA	24	6xPCR	ctrl	2
0.49	CA	24	6xPCR	ctrl	1
0.44	CA	24	6xPCR	ctrl	2
